"BulkAG1"	"BulkAG2"	"BulkAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"K02456"	0.000823540011504795	0.000806741177741003	0.000793238119091021	0.000551692493713088	0.000572950765724104	0.000545030298143515	0.000764825907028582	0.000745880985956425	0.000812924142384469	0.000698174868955174	0.000756869874565209	0.000746360512437279	0.000779892154045705	5.62651872965571e-05	0.000797901204774036	0.000118272852921331	0.000550300181559846	0.000555411291428958	0.000547174126520572	0.000535112662461239	0.000552590680800034	0.000568079477100783	0.000558219712089428	0.000565922874176146	0.000570946301176066	0.00057518284912223	0.000539995481116885
"K02457"	7.28174965289249e-05	7.45021709608281e-05	7.09399943902539e-05	0.000140606261114098	0.000142520142104458	0.000142921178969798	6.96626035328448e-05	7.64982816084578e-05	6.42415571412914e-05	6.67401321012246e-05	7.08042526321481e-05	7.00923301137149e-05	7.02501001755717e-05	7.43420416296652e-06	6.044706096773e-05	1.21142005687617e-05	0.000128701668627189	0.000125405705083252	0.00013984227310966	0.000132095579338564	0.000126662829935629	0.000129924493609459	0.000132717215946049	0.000131850877562631	0.000129144986505992	0.000130211267282654	0.000127187772854693
"K02454"	0.000185462836971513	0.000203283132288764	0.000189911273991819	0.000272744638155498	0.000276924553894635	0.00028460039582288	0.000155415257225507	0.000166276883210774	0.000161066728279319	0.00015800293521947	0.000161010709557002	0.000166634596119398	0.000166029461660182	1.68247778425032e-05	0.000152674622171524	2.980730929419e-05	0.00028163544830059	0.00027075545001107	0.000282083555908121	0.000274939620265893	0.000274419229628353	0.00028535007091418	0.000287335295664184	0.000288945515818032	0.000277208668028282	0.000284650205277166	0.000267234972980635
"K02455"	0.000131588978498971	0.000141086697632605	0.000134275837414388	0.000178908666977812	0.000173003616943468	0.000176645227216014	0.000112081826681454	0.000119977685423966	0.000109414294727675	9.98216961398719e-05	0.000117332761504703	0.000115529541413845	0.000117023991524999	1.22860005640605e-05	0.00010376745466127	2.15983444350949e-05	0.000164094627499665	0.000162876325397284	0.000178426345604534	0.000172477649980467	0.000165604804871803	0.000164497109054024	0.000168848594888015	0.000179321216395249	0.000161505912191765	0.000163013339974839	0.000161847947921731
"K02452"	3.30820606057806e-05	3.64402423905715e-05	3.5903145057754e-05	2.11697101817444e-05	2.25656891665392e-05	2.02535360572174e-05	2.91632159146686e-05	2.94713950548636e-05	2.93437660141057e-05	3.17352213161443e-05	2.97010046755634e-05	3.38181323190161e-05	2.82071558519449e-05	4.93005118175674e-06	2.25302681788812e-05	6.61499110004752e-06	2.47348519392878e-05	2.46782311208006e-05	2.87881162656056e-05	2.56154925713565e-05	2.403450015592e-05	2.28804189676859e-05	2.41212278411451e-05	2.72552157280497e-05	2.27024340195575e-05	2.27321354827299e-05	2.67234972980635e-05
"K02453"	0.000624215975955441	0.000596875907428811	0.000587348501722292	0.00042999127611013	0.000453689119032526	0.000444240295594627	0.000579973171669773	0.000567142432614428	0.00063195549078328	0.000538825591013201	0.000576089146416114	0.000572074327720562	0.000601633640639585	4.11620146286357e-05	0.000621414104039466	8.91031331307605e-05	0.000441305955941196	0.000435545597413641	0.000427023724606482	0.000423609930091805	0.000433330882558001	0.000456499636584359	0.000452954270088113	0.000444330417293444	0.000456139694050847	0.000460724552919713	0.000424461564226761
"K02450"	3.00325969186556e-05	3.3387656640576e-05	3.34005129625755e-05	4.22409565952017e-05	3.24629212571266e-05	3.44883326257334e-05	1.9564038262505e-05	2.15577797160577e-05	2.57336496906038e-05	2.87540338591731e-05	2.28964401368894e-05	2.64499358919679e-05	2.19587352518305e-05	2.11287907789575e-06	2.44535837551271e-05	3.98493439761899e-06	3.02650017631123e-05	3.21320641940221e-05	3.16869196395728e-05	3.14417614699395e-05	3.39728166760895e-05	2.90289015977689e-05	2.99749149323016e-05	3.48987448621153e-05	2.46938756002205e-05	2.48258848035076e-05	2.99383541158757e-05
"K02103"	9.61043101396978e-06	1.15425898671705e-05	1.0106783461298e-05	7.38478262153875e-06	6.4332008588818e-06	6.2098105835808e-06	9.59917765216365e-06	9.00514848898611e-06	9.16414143658192e-06	9.03972970823503e-06	9.37926463438845e-06	9.0685494486747e-06	9.72968350589239e-06	7.82547806628055e-07	9.61657788122977e-06	1.67367244699997e-06	9.55207696842415e-06	8.56183528680839e-06	6.79719411826798e-06	8.03623296356282e-06	7.40303169359562e-06	7.45881499387117e-06	8.57867935772942e-06	8.1463928928857e-06	8.56319879685065e-06	7.67708084285175e-06	8.53946342231354e-06
"K08138"	2.95705569660609e-06	2.76640583593344e-06	3.65769306218405e-06	1.96927536574367e-06	1.97944641811748e-06	1.14642656927646e-06	3.56540884223221e-06	3.82036602563047e-06	3.33241506784797e-06	3.36585680625772e-06	3.58618941903088e-06	3.6840982135241e-06	2.49936824004575e-06	4.69528683976833e-07	3.66345824046848e-06	6.37589503619038e-07	2.01096357229982e-06	2.61891432302374e-06	1.69929852956699e-06	2.71222862520245e-06	3.14375318495156e-06	2.41907513314741e-06	2.22036406905938e-06	2.11202778704444e-06	1.79229742259665e-06	1.99404697216929e-06	2.0092855111326e-06
"K02108"	0.000540217112573724	0.000538781384874209	0.000541627338444991	0.000528848899470462	0.000526928636502872	0.000533088354713552	0.000547701650610595	0.00053903545399729	0.000545868101530541	0.000542095280482137	0.000545744466716622	0.000546569032396165	0.000548700591841473	0.000303785058533011	0.000547961766318073	0.000327721004860185	0.000533307539373913	0.000535467251584393	0.00053427944944327	0.000530893640155369	0.000534438041441766	0.000538848985908585	0.000534401261166791	0.000532733866094019	0.000534204204012834	0.00053689714725658	0.000532561124725695
