GeneFamily	SRR4096731	SRR4096732	SRR4096733	SRR4096734	SRR4096735	SRR4096736	SRR4096737	SRR4096738	SRR4096739	SRR4096740	SRR4096741	SRR4096742	SRR4096743	SRR4096744	SRR4096745	SRR4096746	SRR4096747	SRR4096748	SRR4096749	SRR4096750	SRR4096751	SRR4096752	SRR4096753	SRR4096754	SRR4096755	SRR4096756	SRR4096757	SRR4096758	SRR4096759
K07107	945.2632657819	822.4865921564	677.2493860198	444.2467178505	99.6230694570	948.5025124188	736.8519246975	802.5214566061	1042.8364550380	459.3631620373	980.2122035831	771.7269701021	1194.0058585333	695.4861119215	678.1022296568	339.6110087261	530.8220002475	681.3870453094	177.0484765080	706.0223012910	24.1139346179	1143.8293947214	525.6575736274	463.0076458455	250.9013193654	559.3368227281	784.9831041816	694.9032971922	122.0703795676
K07109	0	0	0	0	5.7380042418	5.7416531843	0	0	0	216.3167821478	40.1811047323	0	0	0	22.9693498659	36.3503667040	0	0	65.0916074740	0	0	0	0	22.9757943877	0	0	0	15.3193346789	0
K07110	0	0	5.0663122299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07112	24.8551219395	61.8458371938	86.5491646169	159.8398159028	58.8525058503	339.6805498353	14.6258960636	145.1172791155	0	322.7650438223	73.6511047027	0	0	85.9136609572	44.8713946799	216.4899050489	22.3257847460	0	117.5370614991	19.2146967471	15.9064270724	16.8650602200	0	44.5569655159	0	97.8167256654	34.7127415023	72.9462365868	47.2129140278
K07113	9.4597231822	0	6.1869703362	0	6.3323480022	0	4.7425563632	11.6981132104	0	209.9548258396	59.0141965636	0	0	9.2550153931	14.1079508727	85.9987710337	6.4512996599	0	73.0724742132	0	21.3804268754	0	0	14.1095797880	0	0	0	27.7178620989	0
K07114	1390.5174854524	1326.6258798003	1272.3297152908	547.7280849081	152.0497459412	1511.4558915845	1030.0886186034	1006.0814836881	1693.6915323002	396.1668012911	1449.6241862006	1210.0327528007	1757.0423848930	948.1071658183	964.0772030681	249.4020640781	806.4942387107	1025.4930195718	100.3255397806	884.8700742460	18.3603432092	1853.3336883306	1054.3830166961	752.2576415853	371.0763815842	1119.9914485829	1279.5978311042	1069.2954662200	122.8866584293
K07115	14.8073975034	0	37.9042522361	0	12.2937725510	4.9357991678	0	30.6070389748	0	189.0951543178	52.9163456250	0	0	20.9639786296	24.4138139426	136.8237152732	14.7713836931	0	82.3817025142	0	18.3496631415	0	0	14.7366300053	0	0	4.8646400735	28.3322520927	11.1160584303
K07118	150.1685957732	0	54.0005441127	67.4397334797	8.1566068515	86.3896211895	195.9339853785	26.5156474548	35.8758202897	509.3342115447	376.7376232472	13.0866891585	0	9.9461439072	151.4520190073	217.4321101781	85.0410777340	120.6193809825	134.2987065642	102.7479152884	24.6551324295	39.0963851609	0	0	13.1107418386	41.5076438367	29.4309859516	29.3508001393	0
K07119	8.9946333820	0	17.1977652213	0	12.0548720301	0	7.2206603649	0	0	84.9312258987	16.6204560863	0	0	0	3.9569577554	122.1582568866	0	0	40.9906489012	0	7.9837450518	0	0	12.7640689391	0	0	4.8566033713	0	35.5639959889
K07120	5.8478126684	0	15.1103013189	0	5.8799923818	0	4.2718651257	17.4334890754	0	110.3422192112	13.5834501567	0	0	0	10.7482365934	37.3780120519	0	0	58.5780803214	0	11.7305283194	0	0	18.3923618051	0	0	0	12.6276520970	9.6634186846
