GeneFamily	SRR5451791	SRR5451792	SRR5451801	SRR5451802	SRR5451803	SRR5451804	SRR5451805	SRR5451806	SRR5451807	SRR5451808	SRR5451809	SRR5452015	SRR5452016	SRR5452017	SRR5452018	SRR5452019	SRR5452020	SRR5452021	SRR5452022
K03746	0	0	18.9138271215	24.5353457225	7.9479665848	7.9799872332	0	19.3360951732	8.6809034670	0	0	120.9532618150	0	0	0	0	42.5734896393	73.9479415749	0
K03747	0	0	0	38.7312394007	0	0	0	52.3163782745	0	0	0	61.4368231563	0	0	0	0	0	6.8365759359	0
K03748	0	0	0	23.3246299918	0	0	7.2835992658	18.9076920927	0	0	0	16.0033109592	0	0	0	0	0	0	0
K03749	0	0	0	23.8068361823	7.9130523577	0	0	34.3781565786	0	0	0	18.1780675495	0	0	0	0	10.4370563919	10.7821889846	0
K03750	0	0	0	49.6490531973	0	0	7.4650704063	51.5077499489	0	0	0	298.3290396090	0	0	0	10.6713695979	13.8765249521	149.5011096680	0
K03752	0	0	0	38.1823866233	12.5049515831	0	0	10.2156073774	0	0	0	141.8914558121	0	0	0	0	0	0	0
K03753	0	0	0	36.8169954437	0	0	0	14.4413212141	0	0	0	52.1397470026	0	0	0	8.6145900999	0	24.6552048059	0
K03755	0	0	0	9.6248318394	0	0	0	0	0	0	0	17.8665900812	0	0	0	0	0	0	0
K03756	0	0	0	98.8273092382	12.4545268248	0	0	0	0	0	0	35.0169042483	0	0	0	0	0	0	0
K03757	0	0	0	24.6043030517	0	0	0	0	0	0	0	18.4573110804	0	0	0	0	0	0	0
K03758	0	0	10.6178924469	46.4633825205	13.0022372624	6.6343601811	17.6890353770	55.5664862570	0	0	0	42.6591764168	0	0	0	0	11.5380418942	33.5824470933	0
K03759	0	0	0	42.9436626821	0	0	0	15.0658554320	0	0	0	14.5770261172	0	0	0	0	0	0	0
K03760	0	0	0	44.7257904955	10.2135002317	0	0	29.1547104964	0	0	6.2992606143	102.7214567573	0	0	0	0	14.8908798859	44.4441915097	0
K03761	0	0	0	58.3684516772	6.3332343092	0	9.6279942168	165.4845664598	0	0	6.3215308255	416.2370213997	0	0	0	0	140.7296987544	277.0705404878	0
K03762	52.7352177350	0	0	63.6153291581	11.1299921233	27.1690571219	9.8803562879	41.4931691487	0	0	7.0593587112	1785.3152829847	0	0	39.6742364615	17.9162256566	28.8704124794	799.3303198632	6.7132175203
K03763	82.3157487107	30.0885798215	53.3662647110	159.2138164719	106.7490055750	94.3358508065	80.8130748964	81.7476012913	32.8467382978	32.8544112422	72.6271968398	879.4287163302	32.6376007832	71.1996419966	48.3983334906	55.3681897236	58.0096423171	498.8880509851	78.3824291945
K03764	0	6.5816701155	0	52.9261461051	6.5927495638	6.7050215904	0	16.5979836933	5.9413432061	0	6.5927495638	72.0633537137	0	0	0	10.1656789865	8.9624178103	15.4493980848	0
K03765	0	0	0	13.9561408697	0	0	0	0	0	0	9.3067434792	21.9237216188	0	0	0	0	0	0	0
K03767	79.4358654678	0	18.9991272727	67.2081553592	37.3712787747	66.7531982503	30.2571835509	210.9059027870	0	0	19.3252820180	100.9506323008	0	0	121.4828259513	0	29.0313294479	39.4171409145	0
