"A001"	"A003"	"A006"	"A007"	"A010"	"A011"	"A013"	"A015"	"A018"	"A020"	"A021"	"A024"	"A025"	"A028"	"A029"	"A031"	"A034"	"A035"	"A037"	"A039"	"A081"	"A082"	"A083"	"A084"	"A085"	"A086"	"A091"	"A093"	"A094"	"A098"	"A099"	"A100"	"A101"	"A107"	"A108"	"A109"	"A116"	"A118"	"A119"	"A120"
"575041"	7.14285714285714e-05	0.000785714285714286	0	0	0.000380952380952381	2.38095238095238e-05	0	0.000642857142857143	0.000452380952380952	0	0.000761904761904762	0	0	0	0.000119047619047619	2.38095238095238e-05	0	0.000142857142857143	0.000142857142857143	4.76190476190476e-05	0.00438095238095238	0	9.52380952380952e-05	0.00030952380952381	0	0	0	0	0	0.000333333333333333	0	0	0.000976190476190476	0	0	0	0	0	0	0
"1086889"	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.76190476190476e-05
"1142029"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0
"199301"	0.000666666666666667	0.00276190476190476	0.000595238095238095	0	0.00242857142857143	5e-04	0.000642857142857143	0.000642857142857143	9.52380952380952e-05	7.14285714285714e-05	0.000238095238095238	0.000119047619047619	0.000142857142857143	0	9.52380952380952e-05	0.000238095238095238	5e-04	0.00126190476190476	0.00119047619047619	0.00121428571428571	0.000428571428571429	0.00019047619047619	0.00019047619047619	0.00269047619047619	2.38095238095238e-05	0.000523809523809524	0.000642857142857143	0	0	0.000404761904761905	0.00123809523809524	0.000238095238095238	7.14285714285714e-05	7.14285714285714e-05	0.000404761904761905	5e-04	0	0.00204761904761905	0	0.000357142857142857
"826541"	0	0	0	0	7.14285714285714e-05	0	0	0	0	0	2.38095238095238e-05	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2689396"	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	2.38095238095238e-05	0	0	0	0	0
"1076969"	0.00019047619047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"694337"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000119047619047619	0	0	0	0	0	0	0	0	0	0	0	0	0	7.14285714285714e-05	0	0	0	0.000119047619047619	0
"321106"	0	0	0	0	0	2.38095238095238e-05	7.14285714285714e-05	0	2.38095238095238e-05	0	0	0	9.52380952380952e-05	0	0	2.38095238095238e-05	0	0	0	2.38095238095238e-05	2.38095238095238e-05	7.14285714285714e-05	2.38095238095238e-05	0	0	2.38095238095238e-05	4.76190476190476e-05	0	0	0	2.38095238095238e-05	0	0	0	0	0	2.38095238095238e-05	2.38095238095238e-05	0	4.76190476190476e-05
"364179"	0.000142857142857143	0.000119047619047619	0.00252380952380952	0.000333333333333333	0.00080952380952381	0.000238095238095238	7.14285714285714e-05	0.000976190476190476	0.00223809523809524	0.00135714285714286	0.0024047619047619	0.000595238095238095	0.00369047619047619	0	0.000285714285714286	0.000452380952380952	0.000119047619047619	0.000333333333333333	2.38095238095238e-05	0.00019047619047619	0.00435714285714286	0.00197619047619048	0.00421428571428571	0.000976190476190476	4.76190476190476e-05	0.00547619047619048	0.00516666666666667	9.52380952380952e-05	4.76190476190476e-05	0.00030952380952381	2.38095238095238e-05	0.000428571428571429	0.0290238095238095	0.0010952380952381	0.00173809523809524	0.0010952380952381	0.04	0.000476190476190476	0.00645238095238095	0.000619047619047619
